101.100|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-6 (10 X 13 mm.)|1587.2|(C/U)|101100
101.101|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE MANGUERA GAS 10.5|895.7|(C/U)|101100
101.102|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-7 (11 x 14 mm.)|1587.2|(C/U)|101100
101.103|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-8 (13 x 16 mm)|1660.2|(C/U)|101100
101.104|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-10 (14 x 19.5 mm) 1/2|1721.5|(C/U)|101100
101.105|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-11 (17 x 21 mm.)|1721.5|(C/U)|101100
101.106|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-12 (19 x 23 mm.)|1721.5|(C/U)|101100
101.107|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-13 (20 x 24 mm.)|1721.5|(C/U)|101100
101.108|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-14 (22 x 27 mm.)  3/4|1721.5|(C/U)|101100
101.109|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-15 (25 x 31 mm.)|1891.0|(C/U)|101100
101.110|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-16 (28.5 x 36 mm)  1'|1891.0|(C/U)|101100
101.111|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-17 (32 x 38 mm.)|2316.8|(C/U)|101100
101.112|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-18 (36X 45 mm) 1.1/4|2316.8|(C/U)|101100
101.113|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-19 (40 x 48.5 mm)  1.1/2'|2454.4|(C/U)|101100
101.114|SANITARIOS|01|ABRAZADERAS|001|ABRAZADERA ALAMBRE A-20 (45 x 52 mm)|2474.3|(C/U)|101100
